VSG_ID,Pass_No,Lat_lower,Lat_Upper,Long_left,Long_right
1,1,12.516,12.526,104.477,104.481
2,205,16.2,16.227,94.57,94.581
3,205,16.28,16.301,94.601,94.61
4,205,16.335,16.342,94.623,94.626
5,205,16.473,16.491,94.678,94.685
6,205,18.222,18.229,95.385,95.387
7,27,16.503,16.511,97.523,97.527
8,242,21.907,21.915,95.815,95.813
9,64,25.091,25.097,97.224,97.221
10,77,9.542,9.554,106.197,106.202
11,77,9.624,9.639,106.228,106.234
12,77,9.987,9.996,106.362,106.366
13,77,10.103,10.11,106.406,106.408
14,77,15.477,15.488,108.456,108.461
15,140,10.208,10.221,106.15,106.146
16,140,12.002,12.019,105.481,105.481
17,1,12.493,12.534,104.483,104.483
18,179,18.324,18.349,103.94,103.94
19,129,20.090,20.110,93.333,93.333
20,129,22.870,22.891,94.532,94.532
21,27,16.672,16.700,97.602,97.602
22,103,12.323,12.357,98.748,98.748
23,166,16.497,16.521,95.233,95.233
24,242,24.246,24.283,94.776,94.776
25,205,16.460,16.497,94.575,94.575
26,205,16.272,16.308,94.61,94.61
27,205,16.460,16.497,94.685,94.685
28,205,18.219,18.228,95.389,95.389
29,242,21.903,21.920,95.822,95.822
30,64,25.088,25.093,97.234,97.234
31,77,11.790,11.943,107.071,107.071
32,77,11.955,11.995,107.111,107.111
33,216,21.018,21.082,104.699,104.699
34,77,9.971,9.999,106.368,106.368
35,77,10.101,10.126,106.415,106.415
36,77,15.464,15.505,108.467,108.467
37,216,14.000,14.026,107.551,107.551
