Date,Time,Water_Level
2008-07-20,01:01:37,3.304
2008-07-29,23:00:08,3.467
2008-08-08,20:58:40,3.493
2008-08-18,18:57:11,3.727
2008-08-28,16:55:42,3.604
2008-09-07,14:54:15,2.701
2008-09-17,12:52:47,2.89
2008-09-27,10:51:19,3.202
2008-10-07,08:49:51,3.442
2008-10-17,06:48:23,3.722
2008-10-27,04:46:55,3.674
2008-11-06,02:45:26,2.936
2008-11-16,00:43:57,3.408
2008-11-25,22:42:29,2.555
2008-12-05,20:41:00,3.124
2008-12-15,18:39:31,3.402
2008-12-25,16:38:03,3.596
2009-01-04,14:36:34,2.638
2009-01-14,12:35:06,2.506
2009-01-24,10:33:38,2.339
2009-02-03,08:32:10,3.027
2009-02-13,06:30:42,3.266
2009-02-23,04:29:14,3.106
2009-03-05,02:27:45,2.498
2009-03-15,00:26:17,2.426
2009-04-13,18:21:50,3.293
2009-04-23,16:20:21,3.318
2009-05-03,14:18:52,3.286
2009-05-13,12:17:23,3.206
2009-05-23,10:15:55,3.421
2009-06-22,04:11:31,3.759
2009-07-02,02:10:03,3.544
2009-07-12,00:08:34,3.574
2009-07-21,22:07:06,2.934
2009-07-31,20:05:37,3.561
2009-08-10,18:04:08,3.381
2009-08-20,16:02:40,3.566
2009-08-30,14:01:11,3.231
2009-09-09,11:59:43,3.377
2009-09-19,09:58:15,3.418
2009-09-29,07:56:47,3.535
2009-10-09,05:55:19,3.387
2009-10-19,03:53:51,3.426
2009-10-29,01:52:22,3.252
2009-11-07,23:50:53,3.223
2009-11-17,21:49:24,3.037
2009-11-27,19:47:55,2.391
2009-12-07,17:46:27,2.198
2009-12-17,15:44:58,3.159
2009-12-27,13:43:30,3.249
2010-01-06,11:42:02,3.425
2010-01-16,09:40:34,3.266
2010-01-26,07:39:06,2.385
2010-02-05,05:37:38,2.979
2010-02-15,03:36:10,2.715
2010-02-25,01:34:41,2.665
2010-03-06,23:33:12,2.995
2010-03-16,21:31:44,2.863
2010-03-26,19:30:15,2.23
2010-04-05,17:28:46,2.517
2010-04-15,15:27:16,3.179
2010-04-25,13:25:48,2.926
2010-05-05,11:24:20,3.216
